property_name,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft (₹),price (₹ Lac),floor_cleaned
2 BHK Apartment for Sale in Godadara Surat,Super Area,1275.0,Resale,Poss. by May '26,Unfurnished,East,2863.0,36.5,5
  Office Space for Sale in Vesu Surat,Super Area,1305.0,New Property,Poss. by Aug '25,Unfurnished,East,3379.0,44.1,5
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,690.0,New Property,Ready to Move,Unfurnished,East,3745.0,47.0,10
2 BHK Apartment for Sale in Palan Pur Patiya Surat,Carpet Area,750.0,New Property,Poss. by Mar '26,Unfurnished,East,3200.0,42.2,14
2 BHK Apartment for Sale in Vanakala Surat,Carpet Area,660.0,New Property,Poss. by Jun '26,Unfurnished,East,3083.0,37.0,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,1050.0,Resale,Poss. by May '25,Unfurnished,East,6688.0,34.5,5
3 BHK  House for Sale in Palsana Surat,Super Area,864.0,New Property,Ready to Move,Unfurnished,West,3125.0,27.0,1
1 BHK Apartment for Sale in Palan Pur Patiya Surat,Carpet Area,425.0,New Property,Ready to Move,Unfurnished,East,3659.0,28.2,8
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,662.0,Resale,Poss. by Nov '24,Unfurnished,East,3551.0,42.8,5
2 BHK Apartment for Sale in Althan Surat,Super Area,1241.0,New Property,Poss. by Dec '24,Unfurnished,East,3651.0,45.3,5
3 BHK Villa for Sale in Olpad Sayan Road Surat,Carpet Area,1000.0,Resale,Poss. by Jul '24,Unfurnished,East,1851.0,18.5,5
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252.0,Resale,Ready to Move,Unfurnished,East,3514.0,44.0,5
2 BHK Apartment for Sale in Althan Surat,Carpet Area,680.0,New Property,Ready to Move,Unfurnished,East,3951.0,48.8,5
"2 BHK Apartment for Sale in Shubham Residency, Pal Surat",Super Area,1300.0,Resale,Ready to Move,Furnished,East,3846.0,50.0,5
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252.0,New Property,Ready to Move,Unfurnished,East,3994.0,50.0,7
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1205.0,New Property,Ready to Move,Unfurnished,East,2851.0,34.4,5
"2 BHK Apartment for Sale in Shree Krishna Dreams, Godadara Surat",Carpet Area,723.0,New Property,Ready to Move,Unfurnished,East,3451.0,43.8,7
"2 BHK Apartment for Sale in Crystal Avenue, Palanpur Gam Surat",Super Area,1245.0,Resale,Ready to Move,Semi-Furnished,East,2811.0,35.0,2
2 BHK  House for Sale in Masma Village Surat,Carpet Area,1200.0,Resale,Ready to Move,Unfurnished,East,2412.0,30.5,1
  Plot/Land for Sale in Narthan Surat,Plot Area,1485.0,Resale,Ready to Move,Unfurnished,East,2257.0,33.5,5
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,1127.0,Resale,Poss. by Jul '24,Unfurnished,East,3914.0,44.1,15
"2 BHK Apartment for Sale in Narayan Coral Heights, Palanpur Surat",Super Area,1246.0,Resale,Ready to Move,Furnished,East,4013.0,50.0,5
1 BHK Apartment for Sale in Parvat Patiya Surat,Super Area,380.0,Resale,Ready to Move,Unfurnished,Main Road,2500.0,9.5,3
2 BHK Apartment for Sale in Pal Surat,Super Area,1140.0,Resale,Ready to Move,Unfurnished,East,3684.0,42.0,1
2 BHK Apartment for Sale in Pal Surat,Carpet Area,800.0,Resale,Ready to Move,Unfurnished,North,3435.0,45.0,5
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1360.0,New Property,Poss. by Jun '25,Unfurnished,East,3309.0,45.0,3
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1205.0,Resale,Ready to Move,Semi-Furnished,East,3734.0,45.0,4
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Carpet Area,675.0,Resale,Ready to Move,Unfurnished,East,3759.0,38.0,6
1 BHK Apartment for Sale in Palanpur Surat,Super Area,750.0,Resale,Ready to Move,Unfurnished,East,3333.0,25.0,6
2 BHK Apartment for Sale in Pal Surat,Carpet Area,780.0,Resale,Ready to Move,Furnished,East,3837.0,48.0,6
2 BHK Apartment for Sale in Pal Surat,Super Area,1051.0,Resale,Ready to Move,Furnished,East,3996.0,42.0,4
  Office Space for Sale in Pal Gam Surat,Carpet Area,183.0,Resale,Ready to Move,Unfurnished,East,5946.0,22.0,4
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1200.0,New Property,Poss. by Mar '25,Unfurnished,East,3000.0,36.0,8
2 BHK Apartment for Sale in Minaxi Wadi Surat,Super Area,925.0,Resale,Ready to Move,Unfurnished,East,2378.0,22.0,3
"2 BHK Apartment for Sale in Vaishnodevi Ideal Homes, Bhesan Gam Surat",Super Area,1084.0,Resale,Ready to Move,Unfurnished,East,2860.0,31.0,1
1 BHK Apartment for Sale in Pandesara Surat,Carpet Area,650.0,Resale,Ready to Move,Unfurnished,East,4700.0,14.0,4
  Plot/Land for Sale in Olpad Surat,Plot Area,648.0,Resale,Ready to Move,Unfurnished,East,1080.0,7.0,3
"3 BHK Apartment for Sale in Green City, Pal Surat",Super Area,1505.0,Resale,Ready to Move,Unfurnished,East,3189.0,48.0,8
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,1150.0,Resale,Ready to Move,Semi-Furnished,East,3477.0,44.5,3
"1 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",Super Area,735.0,Resale,Ready to Move,Unfurnished,East,3743.0,27.5,5
"2 BHK Apartment for Sale in Vaishnodevi Kingswood, Jahangirabad Surat",Carpet Area,800.0,New Property,Poss. by Jul '24,Unfurnished,Garden/Park,2868.0,38.0,5
"1 BHK Apartment for Sale in Omkar Residency, Palan Pur Patiya Surat",Super Area,750.0,Resale,Ready to Move,Semi-Furnished,East,3067.0,23.0,5
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,688.0,New Property,Ready to Move,Unfurnished,East,2700.0,32.0,8
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1215.0,New Property,Poss. by Sep '25,Unfurnished,East,3991.0,48.5,6
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,New Property,Ready to Move,Unfurnished,East,3535.0,44.2,6
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1280.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,43.7,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,912.0,Resale,Poss. by Oct '24,Unfurnished,East,4700.0,34.0,5
  Plot/Land for Sale in Dandi Road Surat,Plot Area,820.0,New Property,Ready to Move,Unfurnished,East,5879.0,48.2,5
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,725.0,New Property,Ready to Move,Unfurnished,West,3751.0,46.9,3
3 BHK Apartment for Sale in Vanakala Surat,Carpet Area,852.0,New Property,Poss. by May '26,Unfurnished,East,3206.0,49.7,5
2 BHK Apartment for Sale in Dindoli Surat,Super Area,1170.0,New Property,Poss. by Jan '25,Unfurnished,East,2691.0,31.5,4
1 BHK  House for Sale in Palsana Surat,Super Area,450.0,New Property,Ready to Move,Unfurnished,East,2889.0,13.0,1
1 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,421.0,New Property,Ready to Move,Unfurnished,East,3846.0,29.5,14
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,670.0,Resale,Ready to Move,Unfurnished,East,3951.0,47.8,5
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1280.0,New Property,Poss. by Apr '26,Unfurnished,East,3251.0,41.6,7
3 BHK Villa for Sale in Masma Village Surat,Carpet Area,1600.0,Resale,Poss. by Aug '24,Unfurnished,East,2601.0,41.6,5
"2 BHK Apartment for Sale in Swagat Callista, Bamroli Surat",Super Area,1240.0,New Property,Ready to Move,Unfurnished,East,3629.0,45.0,9
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1050.0,Resale,Ready to Move,Unfurnished,East,3143.0,33.0,4
"2 BHK Apartment for Sale in Times Galaxy, Bhesan Gam Surat",Super Area,1155.0,Resale,Ready to Move,Semi-Furnished,East,3290.0,38.0,7
3 BHK Villa for Sale in Masma Village Surat,Super Area,111.0,Resale,Poss. by Jul '25,Unfurnished,East,3855.0,38.5,5
  Plot/Land for Sale in Narthan Surat,Plot Area,1197.0,Resale,Ready to Move,Unfurnished,East,2891.0,34.6,5
"2 BHK Apartment for Sale in Shubham Pearl, Palanpur Surat",Super Area,1275.0,Resale,Ready to Move,Unfurnished,East,3851.0,49.1,5
"2 BHK Apartment for Sale in Chanchal Rang Raag Residency, Jahangir Pura Surat",Carpet Area,865.0,Resale,Ready to Move,Unfurnished,East,2646.0,35.3,9
"  Office Space for Sale in SNS Arista, Vesu Surat",Super Area,620.0,New Property,Ready to Move,Unfurnished,East,7258.0,45.0,7
2 BHK Apartment for Sale in Pal Surat,Super Area,1127.0,New Property,Poss. by Nov '24,Unfurnished,East,4000.0,45.1,7
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,707.0,Resale,Ready to Move,Unfurnished,East,3616.0,44.1,8
"2 BHK Apartment for Sale in Shagun Residency, Jahangir Pura Surat",Carpet Area,1200.0,Resale,Ready to Move,Unfurnished,East,4700.0,35.0,2
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1248.0,Resale,Ready to Move,Furnished,East,3926.0,49.0,5
"1 BHK Apartment for Sale in Orchid Infinity, Palan Pur Patiya Surat",Carpet Area,400.0,Resale,Ready to Move,Furnished,East,4000.0,30.0,7
3 BHK Villa for Sale in Masma Village Surat,Super Area,80.0,Resale,Ready to Move,Unfurnished,East,4861.0,35.0,5
3 BHK  House for Sale in Narthan Surat,Carpet Area,1500.0,New Property,Ready to Move,Unfurnished,East,2947.0,44.2,2
2 BHK Apartment for Sale in Surat Surat,Carpet Area,1285.0,Resale,Ready to Move,Unfurnished,East,3268.0,42.0,10
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,1000.0,Resale,Ready to Move,Semi-Furnished,North,4700.0,40.0,5
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,950.0,Resale,Ready to Move,Furnished,East,1621.0,23.5,10
"2 BHK Apartment for Sale in Vaishnodevi Ideal Homes, Dahin Nagar Surat",Super Area,1084.0,Resale,Ready to Move,Semi-Furnished,East,2768.0,30.0,2
"2 BHK Apartment for Sale in Green City, Pal Surat",Super Area,1201.0,Resale,Ready to Move,Unfurnished,West,3164.0,38.0,6
"2 BHK Apartment for Sale in Shubham Pearl, Palanpur Surat",Carpet Area,975.0,Resale,Poss. by Dec '24,Unfurnished,East,3843.0,49.0,9
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,1127.0,New Property,Ready to Move,Unfurnished,East,3683.0,41.5,10
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Carpet Area,680.0,New Property,Ready to Move,Unfurnished,East,3600.0,45.0,4
"1 BHK Apartment for Sale in Ramaa Residency, Jahangirabad Surat",Super Area,750.0,Resale,Ready to Move,Unfurnished,East,3333.0,25.0,5
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,570.0,New Property,Ready to Move,Unfurnished,East,2689.0,26.4,8
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat",Super Area,1204.0,New Property,Poss. by Jan '26,Unfurnished,East,3838.0,46.2,7
"2 BHK Apartment for Sale in The Capital, Palanpur Surat",Super Area,1190.0,New Property,Ready to Move,Unfurnished,East,4034.0,48.0,8
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1295.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,44.2,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,912.0,Resale,Poss. by Jun '24,Unfurnished,East,4700.0,27.0,5
  Plot/Land for Sale in Dandi Road Surat,Plot Area,756.0,New Property,Ready to Move,Unfurnished,East,5848.0,44.2,5
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,700.0,New Property,Ready to Move,Unfurnished,East,3951.0,47.0,4
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,662.0,New Property,Poss. by Apr '26,Unfurnished,East,3550.0,42.8,14
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1381.0,New Property,Poss. by Jan '25,Unfurnished,East,2691.0,37.2,7
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,859.0,New Property,Poss. by Apr '26,Unfurnished,East,2544.0,39.0,6
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,700.0,Resale,Poss. by Jan '26,Unfurnished,East,3171.0,39.0,5
2 BHK Apartment for Sale in Althan Surat,Super Area,1250.0,New Property,Poss. by Apr '25,Unfurnished,East,3561.0,44.5,5
2 BHK Villa for Sale in Masma Village Surat,Carpet Area,1120.0,Resale,Poss. by Jul '24,Unfurnished,East,2500.0,28.0,5
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252.0,New Property,Ready to Move,Unfurnished,East,3514.0,44.0,6
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1100.0,New Property,Ready to Move,Unfurnished,East,3273.0,36.0,6
"1 BHK Apartment for Sale in S2N Orchid Ventura, Palan Pur Patiya Surat",Super Area,768.0,Resale,Ready to Move,Unfurnished,East,3060.0,23.5,3
  Plot/Land for Sale in Narthan Surat,Plot Area,1053.0,Resale,Ready to Move,Unfurnished,East,2051.0,21.6,5
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,Resale,Ready to Move,Unfurnished,East,3700.0,46.3,5
"  Office Space for Sale in Rajhans Olympia, Bhatar Surat",Carpet Area,220.0,New Property,Ready to Move,Unfurnished,East,5795.0,25.5,4
"  Office Space for Sale in SNS Arista, Vesu Surat",Carpet Area,620.0,Resale,Ready to Move,Unfurnished,East,6774.0,42.0,7
1 BHK Apartment for Sale in Jahangirabad Surat,Super Area,685.0,Resale,Ready to Move,Unfurnished,East,3351.0,23.0,7
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1125.0,Resale,Ready to Move,Semi-Furnished,East,3556.0,40.0,3
"2 BHK Apartment for Sale in Laxmi Nova, Jahangirabad Surat",Super Area,1278.0,New Property,Poss. by Aug '24,Unfurnished,East,3521.0,45.0,8
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1205.0,Resale,Ready to Move,Furnished,East,3817.0,46.0,7
"2 BHK Apartment for Sale in Anjani Residency, Jahangir Pura Surat",Super Area,1250.0,Resale,Ready to Move,Furnished,East,3440.0,43.0,1
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,800.0,Resale,Ready to Move,Furnished,East,4700.0,38.0,1
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,700.0,Resale,Ready to Move,Furnished,East,3500.0,42.0,8
2 BHK Apartment for Sale in Surat Surat,Carpet Area,550.0,Resale,Ready to Move,Unfurnished,East,3167.0,38.0,5
2 BHK Apartment for Sale in Adajan Surat,Super Area,1250.0,Resale,Ready to Move,Semi-Furnished,East,3200.0,40.0,6
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Super Area,1015.0,Resale,Ready to Move,Unfurnished,East,3448.0,35.0,9
"2 BHK Apartment for Sale in Nakshatra Embassy, Palanpur Surat",Carpet Area,965.0,Resale,Ready to Move,Semi-Furnished,East,3612.0,45.0,6
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Super Area,1170.0,Resale,Ready to Move,Unfurnished,East,3248.0,38.0,2
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Super Area,1050.0,Resale,Ready to Move,Unfurnished,East,3333.0,35.0,6
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,659.0,New Property,Ready to Move,Unfurnished,West,2676.0,30.4,8
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1180.0,New Property,Ready to Move,Unfurnished,East,3991.0,47.1,6
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,1127.0,New Property,Ready to Move,Unfurnished,East,3700.0,41.7,6
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1300.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,44.3,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,960.0,Resale,Poss. by Oct '24,Unfurnished,East,4700.0,36.0,5
3 BHK  House for Sale in Narthan Surat,Carpet Area,1500.0,New Property,Poss. by Apr '25,Unfurnished,East,2933.0,44.0,1
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,600.0,New Property,Ready to Move,Unfurnished,East,3300.0,33.4,7
2 BHK Apartment for Sale in Vanakala Surat,Carpet Area,698.0,New Property,Ready to Move,Unfurnished,East,3204.0,40.7,14
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1472.0,New Property,Poss. by Jun '25,Unfurnished,East,2497.0,36.8,7
2 BHK Apartment for Sale in gail tower Surat,Carpet Area,750.0,Resale,Ready to Move,Unfurnished,East,2952.0,31.0,4
2 BHK Apartment for Sale in Pal Gam Surat,Carpet Area,620.0,Resale,Ready to Move,Unfurnished,East,3999.0,45.1,5
2 BHK Apartment for Sale in Bhimrad Surat,Super Area,1275.0,New Property,Poss. by Jun '24,Unfurnished,East,3843.0,49.0,5
3 BHK Villa for Sale in Masma Village Surat,Carpet Area,1440.0,Resale,Poss. by Jul '24,Unfurnished,East,2569.0,37.0,5
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1050.0,Resale,Ready to Move,Unfurnished,East,3048.0,32.0,2
"2 BHK Apartment for Sale in Nakshatra Embassy, Palanpur Surat",Super Area,1246.0,Resale,Ready to Move,Unfurnished,East,3531.0,44.0,7
  Plot/Land for Sale in Narthan Surat,Plot Area,1467.0,Resale,Ready to Move,Unfurnished,East,2045.0,30.0,5
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1180.0,New Property,Poss. by Dec '24,Unfurnished,East,3797.0,44.8,5
"2 BHK Apartment for Sale in Coral Heights, Vesu Canal Road Surat",Super Area,1246.0,Resale,Ready to Move,Unfurnished,East,3291.0,41.0,5
1 BHK Apartment for Sale in Jahangirabad Surat,Super Area,685.0,New Property,Ready to Move,Unfurnished,East,3628.0,24.9,7
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1500.0,Resale,Ready to Move,Unfurnished,West,2933.0,44.0,2
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,New Property,Poss. by Jul '24,Unfurnished,East,3600.0,45.0,5
1 BHK Apartment for Sale in Palanpur Surat,Super Area,997.0,Resale,Ready to Move,Semi-Furnished,East,2508.0,25.0,7
"2 BHK Apartment for Sale in Vaishnodevi Kingswood, Jahangirabad Surat",Super Area,1335.0,New Property,Poss. by Dec '24,Unfurnished,East,3199.0,42.7,5
2 BHK Apartment for Sale in LP Savani Surat,Super Area,950.0,Resale,Ready to Move,Semi-Furnished,East,3684.0,35.0,2
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,500.0,Resale,Ready to Move,Semi-Furnished,East,3241.0,23.5,4
1 BHK Apartment for Sale in Adajan Surat,Super Area,980.0,Resale,Ready to Move,Unfurnished,East,2551.0,25.0,4
  Plot/Land for Sale in nature villa Surat,Plot Area,810.0,Resale,Ready to Move,Unfurnished,East,1481.0,12.0,5
"2 BHK Apartment for Sale in Nakshatra Embassy, Palanpur Surat",Carpet Area,1000.0,Resale,Ready to Move,Unfurnished,East,3652.0,45.5,5
"2 BHK Apartment for Sale in Vaishnodevi Amour Jahagirabad, Jahangirabad Surat",Carpet Area,570.0,Resale,Ready to Move,Unfurnished,East,3691.0,46.5,3
"1 BHK Apartment for Sale in Orchid Infinity, Palan Pur Patiya Surat",Super Area,690.0,Resale,Ready to Move,Semi-Furnished,East,3696.0,25.5,2
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,582.0,New Property,Ready to Move,Unfurnished,West,2891.0,30.6,2
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,1127.0,New Property,Ready to Move,Unfurnished,East,3851.0,43.4,6
"3 BHK Apartment for Sale in Kelly La Maison, Vanakala Surat",Super Area,1533.0,New Property,Ready to Move,Unfurnished,East,2740.0,42.0,5
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1305.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,44.5,5
2 BHK Villa for Sale in Dindoli Surat,Carpet Area,1064.0,Resale,Poss. by Oct '24,Unfurnished,East,4700.0,42.0,5
  Plot/Land for Sale in Dandi Road Surat,Plot Area,798.0,New Property,Ready to Move,Unfurnished,East,4851.0,38.7,5
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700.0,New Property,Ready to Move,Unfurnished,East,3361.0,40.0,4
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,732.0,New Property,Ready to Move,Unfurnished,East,3300.0,44.0,6
2 BHK Apartment for Sale in Dindoli Surat,Super Area,1145.0,New Property,Poss. by Jan '25,Unfurnished,East,2620.0,30.0,3
2 BHK Apartment for Sale in Bhesan Gam Surat,Carpet Area,635.0,New Property,Ready to Move,Unfurnished,East,3377.0,39.0,7
2 BHK Builder Floor for Sale in Althan Surat,Carpet Area,640.0,Resale,Ready to Move,Unfurnished,East,3985.0,44.0,5
"2 BHK Apartment for Sale in Aagam Prestige, Magdalla Surat",Super Area,1156.0,New Property,Ready to Move,Unfurnished,East,4109.0,47.5,9
3 BHK Villa for Sale in Masma Village Surat,Carpet Area,1440.0,Resale,Poss. by Oct '24,Unfurnished,East,2303.0,33.2,5
"2 BHK Apartment for Sale in Devshree Benito, Jahangir Pura Surat",Super Area,1250.0,Resale,Ready to Move,Unfurnished,East,3360.0,42.0,8
"2 BHK Apartment for Sale in JT JT Stuti Icon, Adajan Surat",Super Area,1256.0,Resale,Ready to Move,Semi-Furnished,East,2727.0,34.3,8
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat",Super Area,1278.0,Resale,Ready to Move,Unfurnished,East,3861.0,49.3,5
"2 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",Super Area,1170.0,Resale,Ready to Move,Unfurnished,East,3350.0,39.2,6
"2 BHK Apartment for Sale in Nakshatra Nebula, Jahangirabad Surat",Super Area,1219.0,Resale,Ready to Move,Unfurnished,East,3600.0,43.9,6
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Carpet Area,1135.0,Resale,Ready to Move,Semi-Furnished,East,4700.0,35.0,1
1 BHK Apartment for Sale in Palanpur Surat,Super Area,997.0,Resale,Ready to Move,Semi-Furnished,East,2859.0,28.5,7
2 BHK Apartment for Sale in LP Savani Surat,Super Area,950.0,Resale,Ready to Move,Semi-Furnished,East,3706.0,35.2,2
3 BHK  House for Sale in Narthan Surat,Carpet Area,1500.0,New Property,Ready to Move,Unfurnished,East,2941.0,44.1,2
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1200.0,Resale,Ready to Move,Furnished,East,3417.0,41.0,6
  Plot/Land for Sale in shankar Surat,Plot Area,981.0,Resale,Ready to Move,Unfurnished,East,4281.0,42.0,5
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Carpet Area,900.0,Resale,Ready to Move,Unfurnished,East,4034.0,46.5,9
"3 BHK Apartment for Sale in Penttagon, Palanpur Gam Surat",Super Area,1385.0,New Property,Ready to Move,Unfurnished,East,3466.0,48.0,8
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,600.0,New Property,Ready to Move,Unfurnished,East,2896.0,31.6,4
"2 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",Super Area,1190.0,New Property,Ready to Move,Unfurnished,East,3450.0,41.1,6
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1315.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,44.9,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,864.0,Resale,Poss. by Aug '24,Unfurnished,East,4700.0,24.0,5
3 BHK  House for Sale in Masma Village Surat,Carpet Area,1090.0,New Property,Poss. by Jun '25,Unfurnished,East,2983.0,32.5,1
1 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,420.0,New Property,Ready to Move,Unfurnished,East,3600.0,25.9,8
2 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,704.0,New Property,Ready to Move,Unfurnished,East,3164.0,40.5,7
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1645.0,New Property,Poss. by Jan '25,Unfurnished,East,2650.0,43.6,5
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,747.0,Resale,Ready to Move,Semi-Furnished,East,2696.0,31.0,4
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700.0,Resale,Ready to Move,Unfurnished,East,3551.0,42.3,5
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat",Super Area,1204.0,New Property,Poss. by Dec '24,Unfurnished,East,3650.0,44.0,5
2 BHK Villa for Sale in Masma Village Surat,Carpet Area,864.0,Resale,Poss. by Jul '24,Unfurnished,East,2929.0,25.3,5
"2 BHK Apartment for Sale in Green Tulip, Jahangirabad Surat",Carpet Area,1170.0,Resale,Ready to Move,Unfurnished,East,4700.0,39.0,8
"2 BHK Apartment for Sale in The Capital, Palanpur Surat",Super Area,1190.0,Resale,Ready to Move,Semi-Furnished,North,3950.0,47.0,5
"2 BHK Apartment for Sale in Ramaa Residency, Jahangirabad Surat",Super Area,1178.0,New Property,Poss. by Jul '24,Unfurnished,East,3065.0,36.1,5
"1 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",Super Area,735.0,New Property,Poss. by Dec '24,Unfurnished,East,3500.0,25.7,6
"2 BHK Apartment for Sale in Nakshatra Nebula, Jahangirabad Surat",Carpet Area,707.0,Resale,Ready to Move,Unfurnished,East,3602.0,43.9,6
"2 BHK Apartment for Sale in Rajhans Apple, Palanpur Gam Surat",Super Area,1150.0,Resale,Ready to Move,Semi-Furnished,East,3478.0,40.0,4
2 BHK Apartment for Sale in Rander Road Surat,Carpet Area,1200.0,Resale,Ready to Move,Semi-Furnished,East,4700.0,40.0,1
  Plot/Land for Sale in Jahangir Pura Surat,Plot Area,760.0,New Property,Ready to Move,Unfurnished,East,6000.0,45.6,5
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1150.0,Resale,Ready to Move,Furnished,East,3130.0,36.0,5
  Office Space for Sale in Citylight Area Surat,Super Area,496.0,Resale,Ready to Move,Unfurnished,East,10081.0,50.0,1
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Carpet Area,950.0,Resale,Ready to Move,Unfurnished,East,3473.0,35.1,9
"3 BHK Apartment for Sale in Shri Bhakti Dharm Township, Jahangirabad Surat",Super Area,1350.0,Resale,Ready to Move,Semi-Furnished,East,2741.0,37.0,3
2 BHK  House for Sale in Dindoli Surat,Carpet Area,760.0,New Property,Ready to Move,Unfurnished,East,2276.0,33.0,1
"2 BHK Apartment for Sale in The Capital, Palanpur Surat",Super Area,1120.0,New Property,Ready to Move,Unfurnished,East,4151.0,46.5,2
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1335.0,Resale,Poss. by Dec '25,Unfurnished,East,3411.0,45.5,5
2 BHK  House for Sale in Dindoli Surat,Carpet Area,1056.0,Resale,Poss. by Jun '24,Unfurnished,East,4700.0,34.0,5
2 BHK  House for Sale in Masma Village Surat,Carpet Area,920.0,New Property,Poss. by Jun '25,Unfurnished,East,2229.0,20.5,1
