property_name,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft (₹),price (₹ Lac),floor_cleaned
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1600.0,Resale,Ready to Move,Unfurnished,East,2724.0,43.6,3
  Shop for Sale in Rajhnsh platinum plaza Surat,Super Area,445.0,Resale,Ready to Move,Unfurnished,East,5618.0,25.0,1
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,680.0,New Property,Poss. by Jan '26,Unfurnished,East,3747.0,46.5,6
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,721.0,Resale,Ready to Move,Semi-Furnished,East,2936.0,32.0,3
  Office Space for Sale in Nanpura Surat,Carpet Area,400.0,Resale,Ready to Move,Unfurnished,East,5578.0,41.0,2
2 BHK Apartment for Sale in Swagat Home Surat,Carpet Area,545.0,Resale,Poss. by Dec '24,Unfurnished,East,3451.0,33.5,13
1 BHK Apartment for Sale in Palanpur Surat,Super Area,813.0,New Property,Poss. by Aug '25,Unfurnished,East,3507.0,28.5,4
1 BHK Apartment for Sale in Palanpur Surat,Super Area,990.0,New Property,Poss. by Jul '24,Unfurnished,East,2828.0,28.0,5
1 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,500.0,Resale,Ready to Move,Furnished,East,3636.0,28.0,5
2 BHK  House for Sale in Nansad Surat,Carpet Area,42.0,Resale,Ready to Move,Unfurnished,East,1951.0,9.0,1
2 BHK Apartment for Sale in Adajan Surat,Super Area,970.0,Resale,Ready to Move,Semi-Furnished,East,3093.0,30.0,6
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1180.0,Resale,Ready to Move,Unfurnished,East,2712.0,32.0,5
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,750.0,Resale,Ready to Move,Unfurnished,East,3304.0,38.0,3
2 BHK Apartment for Sale in Shardhaa Surat,Carpet Area,1100.0,Resale,Ready to Move,Furnished,East,4700.0,40.0,2
2 BHK Apartment for Sale in Adajan Surat,Super Area,1000.0,Resale,Ready to Move,Furnished,East,3951.0,39.5,2
1 BHK Apartment for Sale in Bhesan Road Surat,Super Area,813.0,New Property,Poss. by Feb '25,Unfurnished,East,3567.0,29.0,7
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,550.0,Resale,Ready to Move,Unfurnished,East,3636.0,20.0,5
1 BHK Apartment for Sale in Bhatar Surat,Super Area,800.0,Resale,Ready to Move,Furnished,East,3750.0,30.0,1
  Office Space for Sale in Katar Gam Surat,Super Area,280.0,Resale,Ready to Move,Unfurnished,East,12857.0,36.0,1
1 BHK Apartment for Sale in Adajan Surat,Carpet Area,450.0,Resale,Ready to Move,Unfurnished,East,3909.0,21.5,1
2 BHK Apartment for Sale in Adajan Surat,Super Area,1250.0,Resale,Ready to Move,Furnished,East,3600.0,45.0,2
2 BHK Builder Floor for Sale in Varachha Surat,Super Area,800.0,Resale,Ready to Move,Unfurnished,East,1312.0,10.5,3
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267.0,Resale,Ready to Move,Furnished,East,3946.0,50.0,2
2 BHK Apartment for Sale in Adajan Surat,Super Area,1200.0,Resale,Ready to Move,Unfurnished,East,3333.0,40.0,5
1 BHK  House for Sale in Kadodara Surat,Carpet Area,600.0,Resale,Ready to Move,Unfurnished,East,3000.0,18.0,5
2 BHK Apartment for Sale in Citylight Area Surat,Carpet Area,750.0,Resale,Ready to Move,Unfurnished,East,4111.0,37.0,7
